Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
51,51,57,2024-02-23,SAS,@,LAL,L 118-123,*,30:55,7,16,.438,3,8,.375,4,8,.500,.531,10,11,.909,1,9,10,8,5,5,2,3,27,32.5,0
52,52,58,2024-02-25,SAS,@,UTA,L 109-128,*,26:58,9,17,.529,1,3,.333,8,14,.571,.559,3,4,.750,2,8,10,2,1,5,4,1,22,18.6,-2
53,53,59,2024-02-27,SAS,@,MIN,L 105-114,*,34:15,5,13,.385,2,7,.286,3,6,.500,.462,5,5,1.000,1,12,13,5,2,4,5,5,17,15.5,2
54,54,60,2024-02-29,SAS,,OKC,W 132-118,*,32:22,9,17,.529,5,7,.714,4,10,.400,.676,5,7,.714,3,10,13,7,2,5,2,2,28,31.6,17
55,55,61,2024-03-03,SAS,,IND,W 117-105,*,31:24,11,17,.647,3,4,.750,8,13,.615,.735,6,7,.857,2,10,12,6,1,6,3,2,31,33.1,19
56,56,62,2024-03-05,SAS,@,HOU,L 101-114,*,30:30,4,10,.400,2,5,.400,2,5,.400,.500,0,0,,2,9,11,3,0,7,6,4,10,8.1,-12
56,,63,2024-03-07,SAS,@,SAC,L 129-131,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,,64,2024-03-09,SAS,@,GSW,W 126-113,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,57,65,2024-03-11,SAS,,GSW,L 102-112,*,31:26,10,25,.400,3,9,.333,7,16,.438,.460,4,9,.444,2,12,14,3,1,2,3,1,27,17.6,-1
58,58,66,2024-03-12,SAS,,HOU,L 101-103,*,31:06,5,12,.417,2,7,.286,3,5,.600,.500,1,1,1.000,1,9,10,6,1,2,2,2,13,13.8,5
59,59,67,2024-03-15,SAS,,DEN,L 106-117,*,33:11,4,12,.333,1,5,.200,3,7,.429,.375,8,9,.889,4,5,9,2,2,3,4,5,17,13.6,-3
60,60,68,2024-03-17,SAS,,BRK,W 122-115 (OT),*,36:09,14,26,.538,1,7,.143,13,19,.684,.558,4,6,.667,4,11,15,7,0,7,4,1,33,31.1,5
61,61,69,2024-03-19,SAS,,DAL,L 107-113,*,32:07,3,13,.231,0,4,.000,3,9,.333,.231,6,7,.857,3,8,11,3,1,6,5,4,12,8.9,5
62,62,70,2024-03-22,SAS,,MEM,L 97-99,*,33:27,11,24,.458,3,12,.250,8,12,.667,.521,6,10,.600,5,11,16,5,2,3,7,2,31,23.6,15
63,63,71,2024-03-23,SAS,,PHO,L 106-131,*,20:53,5,7,.714,1,2,.500,4,5,.800,.786,2,2,1.000,1,4,5,4,0,1,5,0,13,10.5,-13
63,,72,2024-03-25,SAS,,PHO,W 104-102,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,64,73,2024-03-27,SAS,@,UTA,W 118-111,*,30:29,7,15,.467,1,4,.250,6,11,.545,.500,4,7,.571,2,6,8,6,0,5,6,4,19,13.4,10
65,65,74,2024-03-29,SAS,,NYK,W 130-126 (OT),*,37:42,13,22,.591,4,9,.444,9,13,.692,.682,10,12,.833,5,15,20,7,2,1,4,2,40,39.8,1
66,66,75,2024-03-31,SAS,,GSW,L 113-117,*,31:22,10,22,.455,3,10,.300,7,12,.583,.523,9,10,.900,1,8,9,5,4,3,5,2,32,27.1,-11
67,67,76,2024-04-02,SAS,@,DEN,L 105-110,*,33:57,9,29,.310,2,11,.182,7,18,.389,.345,3,6,.500,5,10,15,8,1,9,2,3,23,21.3,-9
68,68,77,2024-04-05,SAS,@,NOP,W 111-109,*,33:58,5,12,.417,3,6,.500,2,6,.333,.542,4,4,1.000,2,10,12,9,1,3,2,1,17,22.0,4
69,69,78,2024-04-07,SAS,,PHI,L 126-133 (2OT),*,43:18,11,20,.550,5,10,.500,6,10,.600,.675,6,7,.857,3,15,18,6,0,7,9,1,33,29.3,-1
70,70,79,2024-04-09,SAS,@,MEM,W 102-87,*,30:33,9,19,.474,0,5,.000,9,14,.643,.474,0,0,,1,6,7,6,0,7,1,1,18,18.5,15
70,,80,2024-04-10,SAS,@,OKC,L 89-127,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,71,81,2024-04-12,SAS,,DEN,W 121-120,*,36:49,12,27,.444,5,12,.417,7,15,.467,.537,5,7,.714,1,11,12,5,1,2,7,1,34,21.6,-11
71,,82,2024-04-14,SAS,,DET,W 123-95,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,,,,,,,19-52,71,2103,551,1186,.465,128,394,.325,423,792,.534,.519,292,367,.796,161,594,755,274,88,254,260,153,1522,18.4,-142
