Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
54,,61,2024-03-02,MEM,,POR,L 100-107 (OT),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
54,,62,2024-03-04,MEM,@,BRK,W 106-102,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,322,63,2024-03-06,MEM,@,PHI,W 115-109,*,37:06,10,25,.400,2,7,.286,8,18,.444,.440,8,10,.800,3,8,11,1,0,6,3,4,30,20.5,10
56,323,64,2024-03-08,MEM,,ATL,L 92-99,*,35:15,8,19,.421,0,2,.000,8,17,.471,.421,5,8,.625,2,7,9,3,3,2,2,4,21,16.1,-13
57,324,65,2024-03-10,MEM,@,OKC,L 93-124,*,28:04,4,10,.400,3,5,.600,1,5,.200,.550,5,8,.625,1,1,2,2,0,1,4,3,16,7.3,-31
57,,66,2024-03-12,MEM,,WAS,W 109-97,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,,67,2024-03-13,MEM,,CHO,L 98-110,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,325,68,2024-03-16,MEM,,OKC,L 112-118,*,36:12,7,11,.636,3,4,.750,4,7,.571,.773,2,2,1.000,0,6,6,7,2,1,5,4,19,16.9,0
59,326,69,2024-03-18,MEM,@,SAC,L 111-121 (OT),*,39:24,8,27,.296,1,6,.167,7,21,.333,.315,8,9,.889,1,1,2,4,1,4,4,6,25,10.1,-2
60,327,70,2024-03-20,MEM,@,GSW,L 116-137,*,31:16,13,21,.619,1,4,.250,12,17,.706,.643,1,2,.500,1,3,4,3,1,0,2,4,28,19.2,-27
61,328,71,2024-03-22,MEM,@,SAS,W 99-97,*,35:36,11,22,.500,2,6,.333,9,16,.563,.545,4,6,.667,2,5,7,2,1,2,4,4,28,17.3,7
62,329,72,2024-03-25,MEM,@,DEN,L 103-128,*,26:20,4,18,.222,1,7,.143,3,11,.273,.250,2,4,.500,3,1,4,5,2,4,1,4,11,7.3,-22
63,330,73,2024-03-27,MEM,,LAL,L 124-136,*,34:38,6,16,.375,0,4,.000,6,12,.500,.375,5,6,.833,4,5,9,3,3,1,1,5,17,14.9,-26
64,331,74,2024-03-30,MEM,@,ORL,L 88-118,*,25:42,1,9,.111,0,3,.000,1,6,.167,.111,2,2,1.000,1,3,4,1,1,1,3,3,4,-2.1,-34
65,332,75,2024-04-01,MEM,@,DET,W 110-108,*,34:23,13,23,.565,2,3,.667,11,20,.550,.609,12,14,.857,2,5,7,3,3,2,3,2,40,33.9,-13
66,333,76,2024-04-03,MEM,@,MIL,W 111-101,*,37:08,14,26,.538,2,7,.286,12,19,.632,.577,5,6,.833,0,3,3,4,3,1,0,2,35,28.6,19
66,,77,2024-04-05,MEM,,DET,W 108-90,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
66,,78,2024-04-06,MEM,,PHI,L 96-116,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
66,,79,2024-04-09,MEM,,SAS,L 87-102,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
66,,80,2024-04-10,MEM,@,CLE,L 98-110,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
66,,81,2024-04-12,MEM,,LAL,L 120-123,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
66,,82,2024-04-14,MEM,,DEN,L 111-126,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,,,,,,,22-44,66,2124,516,1162,.444,117,366,.320,399,796,.501,.494,337,417,.808,85,280,365,154,80,106,160,235,1486,15.1,-340
