 
Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
31,712,31,2023-12-30,MIN,,LAL,W 108-106,*,37:41,6,7,.857,0,0,,6,7,.857,.857,1,1,1.000,4,9,13,0,2,1,4,3,13,13.5,19
32,713,32,2024-01-01,MIN,@,NYK,L 106-112,*,37:48,3,8,.375,0,0,,3,8,.375,.375,4,6,.667,2,13,15,1,0,0,1,2,10,9.0,-11
33,714,33,2024-01-03,MIN,,NOP,L 106-117,*,23:54,2,3,.667,0,0,,2,3,.667,.667,1,2,.500,1,4,5,0,0,1,1,4,5,3.3,-16
34,715,34,2024-01-05,MIN,@,HOU,W 122-95,*,32:58,6,7,.857,0,0,,6,7,.857,.857,1,3,.333,3,9,12,1,2,2,1,2,13,16.8,22
35,716,35,2024-01-07,MIN,@,DAL,L 108-115,*,34:13,4,9,.444,0,0,,4,9,.444,.444,1,4,.250,6,11,17,1,1,0,5,4,9,5.7,1
36,717,36,2024-01-09,MIN,@,ORL,W 113-92,*,33:34,8,10,.800,0,0,,8,10,.800,.800,5,6,.833,1,11,12,1,1,3,2,3,21,21.4,13
36,,37,2024-01-10,MIN,@,BOS,L 120-127 (OT),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,718,38,2024-01-12,MIN,,POR,W 116-93,*,28:27,9,11,.818,0,0,,9,11,.818,.818,6,8,.750,5,12,17,0,0,2,1,2,24,25.8,33
38,719,39,2024-01-14,MIN,,LAC,W 109-105,*,36:55,4,5,.800,0,0,,4,5,.800,.800,7,14,.500,3,15,18,0,0,4,1,4,15,17.1,-1
39,720,40,2024-01-17,MIN,@,DET,W 124-117,*,37:39,8,11,.727,0,0,,8,11,.727,.727,3,4,.750,5,11,16,2,0,1,1,4,19,20.4,12
40,721,41,2024-01-18,MIN,,MEM,W 118-103,*,38:53,5,10,.500,0,1,.000,5,9,.556,.500,7,10,.700,3,7,10,4,0,6,3,3,17,17.8,20
41,722,42,2024-01-20,MIN,,OKC,L 97-102,*,33:22,1,6,.167,0,0,,1,6,.167,.167,5,8,.625,4,14,18,2,0,0,2,4,7,6.8,-4
42,723,43,2024-01-22,MIN,,CHO,L 125-128,*,39:03,6,6,1.000,0,0,,6,6,1.000,1.000,1,2,.500,2,9,11,1,0,0,0,3,13,14.4,-10
43,724,44,2024-01-24,MIN,@,WAS,W 118-107,*,34:44,7,11,.636,0,0,,7,11,.636,.636,5,6,.833,7,9,16,1,0,4,0,4,19,23.2,9
44,725,45,2024-01-25,MIN,@,BRK,W 96-94,*,32:44,4,9,.444,0,0,,4,9,.444,.444,2,2,1.000,1,12,13,1,1,2,1,3,10,10.5,3
45,726,46,2024-01-27,MIN,@,SAS,L 112-113,*,36:50,8,9,.889,0,0,,8,9,.889,.889,3,4,.750,2,5,7,1,1,1,1,4,19,18.2,-4
46,727,47,2024-01-29,MIN,@,OKC,W 107-101,*,36:25,6,6,1.000,0,0,,6,6,1.000,1.000,0,1,.000,4,14,18,1,1,1,3,0,12,16.2,11
47,728,48,2024-01-31,MIN,,DAL,W 121-87,*,28:06,5,9,.556,0,0,,5,9,.556,.556,7,12,.583,2,4,6,0,0,2,2,4,17,11.1,18
48,729,49,2024-02-02,MIN,,ORL,L 106-108,*,39:05,6,7,.857,0,0,,6,7,.857,.857,10,11,.909,3,13,16,2,0,2,1,5,22,24.9,0
49,730,50,2024-02-04,MIN,,HOU,W 111-90,*,31:23,7,9,.778,0,0,,7,9,.778,.778,3,5,.600,3,10,13,1,1,4,0,1,17,21.9,32
50,731,51,2024-02-06,MIN,@,CHI,L 123-129 (OT),*,44:24,3,6,.500,0,0,,3,6,.500,.500,6,10,.600,7,9,16,1,1,1,1,5,12,14.4,-8
51,732,52,2024-02-08,MIN,@,MIL,W 129-105,*,35:13,8,9,.889,0,0,,8,9,.889,.889,0,1,.000,3,8,11,4,1,0,0,3,16,19.6,13
52,733,53,2024-02-12,MIN,@,LAC,W 121-100,*,33:21,6,11,.545,0,0,,6,11,.545,.545,5,5,1.000,6,5,11,0,0,4,2,4,17,16.6,9
53,734,54,2024-02-13,MIN,@,POR,W 121-109,*,37:27,7,10,.700,0,0,,7,10,.700,.700,2,4,.500,6,9,15,1,0,1,1,3,16,17.1,12
54,735,55,2024-02-15,MIN,@,POR,W 128-91,*,26:19,4,7,.571,0,0,,4,7,.571,.571,3,4,.750,2,10,12,2,0,2,3,4,11,9.9,19
55,736,56,2024-02-23,MIN,,MIL,L 107-112,*,38:03,6,8,.750,0,0,,6,8,.750,.750,0,1,.000,7,12,19,1,0,2,0,5,12,17.0,5
