Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
34,34,34,2024-01-05,OKC,@,BRK,L 115-124,*,34:59,8,15,.533,0,4,.000,8,11,.727,.533,1,2,.500,3,3,6,3,1,1,1,3,17,13.9,-3
35,35,35,2024-01-08,OKC,@,WAS,W 136-128,*,31:47,11,14,.786,4,5,.800,7,9,.778,.929,5,8,.625,1,3,4,5,0,2,0,3,31,29.7,1
36,36,36,2024-01-10,OKC,@,MIA,W 128-120,*,33:17,10,15,.667,1,5,.200,9,10,.900,.700,2,3,.667,0,9,9,2,0,3,2,4,23,18.7,3
37,37,37,2024-01-11,OKC,,POR,W 139-77,*,20:08,9,13,.692,1,3,.333,8,10,.800,.731,0,2,.000,1,3,4,3,1,0,0,2,19,16.6,41
38,38,38,2024-01-13,OKC,,ORL,W 112-100,*,31:33,7,14,.500,1,5,.200,6,9,.667,.536,0,0,,2,6,8,3,1,2,2,0,15,13.7,5
39,39,39,2024-01-15,OKC,@,LAL,L 105-112,*,30:29,4,9,.444,1,4,.250,3,5,.600,.500,0,0,,1,7,8,4,1,3,3,5,9,8.0,-8
40,40,40,2024-01-16,OKC,@,LAC,L 117-128,*,33:07,2,10,.200,0,2,.000,2,8,.250,.200,4,6,.667,0,5,5,5,0,1,1,4,8,4.1,-14
41,41,41,2024-01-18,OKC,@,UTA,W 134-129,*,31:55,6,16,.375,2,6,.333,4,10,.400,.438,1,2,.500,0,5,5,5,0,4,3,3,15,9.4,2
42,42,42,2024-01-20,OKC,@,MIN,W 102-97,*,33:05,4,8,.500,1,2,.500,3,6,.500,.563,6,6,1.000,1,4,5,2,1,2,0,4,15,15.1,8
43,43,43,2024-01-23,OKC,,POR,W 111-109,*,32:26,3,6,.500,0,2,.000,3,4,.750,.500,2,4,.500,1,9,10,3,0,6,1,1,8,12.5,8
44,44,44,2024-01-24,OKC,@,SAS,W 140-114,*,30:08,7,13,.538,2,4,.500,5,9,.556,.615,1,3,.333,4,5,9,4,1,3,3,3,17,15.9,11
45,45,45,2024-01-26,OKC,@,NOP,W 107-83,*,30:16,9,16,.563,2,6,.333,7,10,.700,.625,0,0,,2,11,13,0,1,2,0,1,20,19.1,18
46,46,46,2024-01-28,OKC,@,DET,L 104-120,*,23:11,4,11,.364,1,5,.200,3,6,.500,.409,0,1,.000,1,11,12,1,0,1,1,0,9,6.9,-20
47,47,47,2024-01-29,OKC,,MIN,L 101-107,*,32:00,2,9,.222,0,2,.000,2,7,.286,.222,0,0,,1,6,7,2,0,3,2,0,4,2.5,-13
48,48,48,2024-01-31,OKC,,DEN,W 105-100,*,32:07,7,13,.538,3,4,.750,4,9,.444,.654,1,2,.500,5,8,13,3,0,5,2,0,18,20.8,13
49,49,49,2024-02-02,OKC,,CHO,W 126-106,*,23:20,5,9,.556,3,6,.500,2,3,.667,.722,3,4,.750,0,6,6,3,1,2,1,1,16,16.2,13
50,50,50,2024-02-04,OKC,,TOR,W 135-127 (2OT),*,41:15,9,17,.529,4,10,.400,5,7,.714,.647,0,0,,0,5,5,4,2,2,2,1,22,19.0,10
51,51,51,2024-02-06,OKC,@,UTA,L 117-124,*,30:50,8,13,.615,4,6,.667,4,7,.571,.769,2,4,.500,3,5,8,3,3,4,1,3,22,24.6,-5
52,52,52,2024-02-10,OKC,@,DAL,L 111-146,*,22:00,4,7,.571,2,3,.667,2,4,.500,.714,3,4,.750,4,8,12,0,0,1,0,4,13,13.6,-3
53,53,53,2024-02-11,OKC,,SAC,W 127-113,*,30:44,5,9,.556,0,2,.000,5,7,.714,.556,4,4,1.000,1,3,4,2,2,4,2,3,14,14.3,22
54,54,54,2024-02-13,OKC,@,ORL,W 127-113,*,31:46,4,8,.500,1,3,.333,3,5,.600,.563,4,4,1.000,2,7,9,1,1,5,1,5,13,14.7,15
55,55,55,2024-02-22,OKC,,LAC,W 129-107,*,32:55,6,12,.500,3,6,.500,3,6,.500,.625,2,3,.667,3,7,10,3,0,3,3,4,17,14.4,1
56,56,56,2024-02-23,OKC,,WAS,W 147-106,*,23:04,11,14,.786,2,5,.400,9,9,1.000,.857,1,2,.500,1,9,10,0,0,2,3,2,25,20.2,6
57,57,57,2024-02-25,OKC,@,HOU,W 123-110,*,33:12,11,16,.688,5,8,.625,6,8,.750,.844,2,2,1.000,2,6,8,7,1,3,2,3,29,30.2,10
58,58,58,2024-02-27,OKC,,HOU,W 112-95,*,33:35,6,13,.462,1,4,.250,5,9,.556,.500,5,5,1.000,2,11,13,2,1,3,2,4,18,16.9,10
59,59,59,2024-02-29,OKC,@,SAS,L 118-132,*,33:08,8,12,.667,1,4,.250,7,8,.875,.708,6,6,1.000,0,7,7,5,0,1,1,1,23,22.7,-10
60,60,60,2024-03-03,OKC,@,PHO,W 118-110,*,31:35,5,10,.500,0,1,.000,5,9,.556,.500,4,5,.800,4,5,9,2,1,0,1,1,14,13.9,-19
